ZIP CODE,BOROUGH,SALE PRICE,log_saleprice,pop_est,number_of_schools,hate_count,borough_name
10475,2,306000,12.631340380934517,43208.0,2.0,151,BRONX
10475,2,550000,13.217673557208654,43208.0,2.0,151,BRONX
10475,2,655000,13.39239051461739,43208.0,2.0,151,BRONX
10475,2,520000,13.16158409055761,43208.0,2.0,151,BRONX
10469,2,5000,8.517193191416238,73870.0,5.0,151,BRONX
10469,2,650000,13.38472764187182,73870.0,5.0,151,BRONX
10469,2,335000,12.721885810807203,73870.0,5.0,151,BRONX
10469,2,535000,13.190022025878143,73870.0,5.0,151,BRONX
10469,2,549000,13.215853720491667,73870.0,5.0,151,BRONX
10469,2,235000,12.367340793126296,73870.0,5.0,151,BRONX
10469,2,485000,13.091904169919621,73870.0,5.0,151,BRONX
10469,2,380000,12.84792653170257,73870.0,5.0,151,BRONX
10469,2,95302,11.464806075780949,73870.0,5.0,151,BRONX
10469,2,300000,12.611537753638338,73870.0,5.0,151,BRONX
10469,2,10,2.302585092994046,73870.0,5.0,151,BRONX
10469,2,538000,13.195613839143922,73870.0,5.0,151,BRONX
10469,2,10,2.302585092994046,73870.0,5.0,151,BRONX
10466,2,540000,13.199324418540456,72479.0,3.0,151,BRONX
10466,2,345000,12.751299696013497,72479.0,3.0,151,BRONX
10466,2,341000,12.739637756265655,72479.0,3.0,151,BRONX
10466,2,65000,11.082142548877775,72479.0,3.0,151,BRONX
10469,2,300000,12.611537753638338,73870.0,5.0,151,BRONX
10466,2,576580,13.264869377493985,72479.0,3.0,151,BRONX
10466,2,299000,12.608198852372823,72479.0,3.0,151,BRONX
10466,2,630000,13.353475098367715,72479.0,3.0,151,BRONX
10466,2,340000,12.736700896592344,72479.0,3.0,151,BRONX
10466,2,240000,12.388394202324129,72479.0,3.0,151,BRONX
10466,2,352000,12.771386454580234,72479.0,3.0,151,BRONX
10466,2,600000,13.304684934198283,72479.0,3.0,151,BRONX
10466,2,295930,12.597878218852372,72479.0,3.0,151,BRONX
10466,2,400000,12.89921982609012,72479.0,3.0,151,BRONX
10466,2,463000,13.045482333068371,72479.0,3.0,151,BRONX
10466,2,287000,12.567237494741757,72479.0,3.0,151,BRONX
10466,2,556200,13.228883220782002,72479.0,3.0,151,BRONX
10466,2,465000,13.049792684569493,72479.0,3.0,151,BRONX
10466,2,550000,13.217673557208654,72479.0,3.0,151,BRONX
10466,2,477000,13.075271769870477,72479.0,3.0,151,BRONX
10475,2,585000,13.279367126213993,43208.0,2.0,151,BRONX
10469,2,1000,6.907755278982137,73870.0,5.0,151,BRONX
10469,2,1125000,13.933293593620657,73870.0,5.0,151,BRONX
10469,2,620000,13.337474757021274,73870.0,5.0,151,BRONX
10469,2,43784,10.687023732823754,73870.0,5.0,151,BRONX
10469,2,40000,10.596634733096073,73870.0,5.0,151,BRONX
10466,2,405600,12.91312273125911,72479.0,3.0,151,BRONX
10475,2,200000,12.206072645530174,43208.0,2.0,151,BRONX
10475,2,130000,11.77528972943772,43208.0,2.0,151,BRONX
10466,2,255000,12.449018824140563,72479.0,3.0,151,BRONX
10469,2,460000,13.038981768465277,73870.0,5.0,151,BRONX
10466,2,315000,12.66032791780777,72479.0,3.0,151,BRONX
10466,2,1235000,14.026581528044215,72479.0,3.0,151,BRONX
10475,2,114000,11.643953727376633,43208.0,2.0,151,BRONX
10475,2,116000,11.661345470088502,43208.0,2.0,151,BRONX
10475,2,112000,11.626254150277232,43208.0,2.0,151,BRONX
10475,2,145000,11.884489021402711,43208.0,2.0,151,BRONX
10475,2,130000,11.77528972943772,43208.0,2.0,151,BRONX
10466,2,772172,13.556962602118602,72479.0,3.0,151,BRONX
10469,2,1000,6.907755278982137,73870.0,5.0,151,BRONX
10469,2,1100000,13.9108207377686,73870.0,5.0,151,BRONX
10469,2,2500000,14.73180128983843,73870.0,5.0,151,BRONX
10466,2,775000,13.560618308335483,72479.0,3.0,151,BRONX
10466,2,690000,13.444446876573442,72479.0,3.0,151,BRONX
10469,2,250000,12.429216196844383,73870.0,5.0,151,BRONX
10469,2,4950000,15.414898134544874,73870.0,5.0,151,BRONX
10466,2,1807736,14.407585791573522,72479.0,3.0,151,BRONX
10475,2,1600000,14.28551418721001,43208.0,2.0,151,BRONX
10475,2,3100000,14.946912669455374,43208.0,2.0,151,BRONX
10466,2,600000,13.304684934198283,72479.0,3.0,151,BRONX
10475,2,1100000,13.9108207377686,43208.0,2.0,151,BRONX
10458,2,75376,11.230244200939822,83960.0,9.0,151,BRONX
10458,2,86500,11.36789969291997,83960.0,9.0,151,BRONX
10458,2,97000,11.48246625748552,83960.0,9.0,151,BRONX
10458,2,372500,12.827992316801751,83960.0,9.0,151,BRONX
10458,2,187000,12.138863895836725,83960.0,9.0,151,BRONX
10458,2,188000,12.144197241812087,83960.0,9.0,151,BRONX
10458,2,240000,12.388394202324129,83960.0,9.0,151,BRONX
10458,2,150000,11.918390573078392,83960.0,9.0,151,BRONX
10458,2,377701,12.841858156300962,83960.0,9.0,151,BRONX
10458,2,470000,13.060487973686241,83960.0,9.0,151,BRONX
10458,2,180000,12.100712129872347,83960.0,9.0,151,BRONX
10468,2,320000,12.676076274775909,78647.0,10.0,151,BRONX
10458,2,240000,12.388394202324129,83960.0,9.0,151,BRONX
10458,2,720000,13.487006490992238,83960.0,9.0,151,BRONX
10468,2,405000,12.911642346088676,78647.0,10.0,151,BRONX
10468,2,265000,12.487485104968359,78647.0,10.0,151,BRONX
10468,2,2000000,14.508657738524219,78647.0,10.0,151,BRONX
10467,2,400000,12.89921982609012,103732.0,6.0,151,BRONX
10458,2,349000,12.762827201184564,83960.0,9.0,151,BRONX
10458,2,499900,13.122163357401663,83960.0,9.0,151,BRONX
10458,2,388500,12.87004844878984,83960.0,9.0,151,BRONX
10458,2,200000,12.206072645530174,83960.0,9.0,151,BRONX
10458,2,229320,12.342873687022319,83960.0,9.0,151,BRONX
10458,2,300000,12.611537753638338,83960.0,9.0,151,BRONX
10458,2,400000,12.89921982609012,83960.0,9.0,151,BRONX
10458,2,539000,13.197470849891134,83960.0,9.0,151,BRONX
10458,2,280000,12.542544882151386,83960.0,9.0,151,BRONX
10458,2,445000,13.005829561148378,83960.0,9.0,151,BRONX
10458,2,415000,12.936033799212835,83960.0,9.0,151,BRONX
10458,2,499999,13.12236137740233,83960.0,9.0,151,BRONX
10458,2,111000,11.617285480294472,83960.0,9.0,151,BRONX
10458,2,396000,12.889169490236618,83960.0,9.0,151,BRONX
10458,2,100,4.605170185988092,83960.0,9.0,151,BRONX
10458,2,480000,13.081541382884074,83960.0,9.0,151,BRONX
10458,2,290000,12.577636201962656,83960.0,9.0,151,BRONX
10458,2,222500,12.312682380588432,83960.0,9.0,151,BRONX
10468,2,466000,13.051940913107783,78647.0,10.0,151,BRONX
10468,2,1800000,14.403297222866392,78647.0,10.0,151,BRONX
10468,2,302925,12.621240529099722,78647.0,10.0,151,BRONX
10468,2,522610,13.166590766979338,78647.0,10.0,151,BRONX
10468,2,335000,12.721885810807203,78647.0,10.0,151,BRONX
10468,2,162000,11.99535161421452,78647.0,10.0,151,BRONX
10468,2,600000,13.304684934198283,78647.0,10.0,151,BRONX
10467,2,525000,13.17115354157376,103732.0,6.0,151,BRONX
10467,2,300000,12.611537753638338,103732.0,6.0,151,BRONX
10467,2,290000,12.577636201962656,103732.0,6.0,151,BRONX
10467,2,179000,12.095141084822892,103732.0,6.0,151,BRONX
10467,2,10,2.302585092994046,103732.0,6.0,151,BRONX
10467,2,39000,10.571316925111784,103732.0,6.0,151,BRONX
10467,2,345438,12.752568456014412,103732.0,6.0,151,BRONX
10467,2,480000,13.081541382884074,103732.0,6.0,151,BRONX
10467,2,420000,12.948009990259552,103732.0,6.0,151,BRONX
10467,2,465000,13.049792684569493,103732.0,6.0,151,BRONX
10458,2,295000,12.594730635321957,83960.0,9.0,151,BRONX
10458,2,420000,12.948009990259552,83960.0,9.0,151,BRONX
10458,2,420000,12.948009990259552,83960.0,9.0,151,BRONX
10458,2,380000,12.84792653170257,83960.0,9.0,151,BRONX
10458,2,150000,11.918390573078392,83960.0,9.0,151,BRONX
10458,2,525000,13.17115354157376,83960.0,9.0,151,BRONX
10467,2,480000,13.081541382884074,103732.0,6.0,151,BRONX
10467,2,495000,13.112313041550827,103732.0,6.0,151,BRONX
10467,2,10,2.302585092994046,103732.0,6.0,151,BRONX
10467,2,240000,12.388394202324129,103732.0,6.0,151,BRONX
10458,2,7350000,15.81021087118902,83960.0,9.0,151,BRONX
10458,2,2600000,14.77102200299171,83960.0,9.0,151,BRONX
10458,2,3900000,15.176487111099874,83960.0,9.0,151,BRONX
10458,2,3509755,15.071056792436075,83960.0,9.0,151,BRONX
10458,2,1100000,13.9108207377686,83960.0,9.0,151,BRONX
10458,2,5700000,15.555976732804778,83960.0,9.0,151,BRONX
10458,2,3050000,14.930652148583594,83960.0,9.0,151,BRONX
10458,2,6000000,15.60727002719233,83960.0,9.0,151,BRONX
10458,2,540000,13.199324418540456,83960.0,9.0,151,BRONX
10458,2,625000,13.345506928718539,83960.0,9.0,151,BRONX
10468,2,595000,13.296316684527767,78647.0,10.0,151,BRONX
10468,2,2975000,14.905754596961867,78647.0,10.0,151,BRONX
10468,2,4000000,15.201804919084164,78647.0,10.0,151,BRONX
10468,2,8400000,15.943742263813542,78647.0,10.0,151,BRONX
10468,2,1100000,13.9108207377686,78647.0,10.0,151,BRONX
10467,2,5300000,15.483217378522351,103732.0,6.0,151,BRONX
10467,2,2825000,14.854018922562679,103732.0,6.0,151,BRONX
10467,2,6600000,15.702580206996654,103732.0,6.0,151,BRONX
10467,2,6900000,15.747031969567487,103732.0,6.0,151,BRONX
10467,2,885000,13.693342923990066,103732.0,6.0,151,BRONX
10467,2,7550000,15.837058121225207,103732.0,6.0,151,BRONX
10467,2,817500,13.614006181753545,103732.0,6.0,151,BRONX
10467,2,7200000,15.789591583986283,103732.0,6.0,151,BRONX
10467,2,200000,12.206072645530174,103732.0,6.0,151,BRONX
10467,2,8000000,15.89495209964411,103732.0,6.0,151,BRONX
10467,2,495000,13.112313041550827,103732.0,6.0,151,BRONX
10467,2,6350000,15.663965370868874,103732.0,6.0,151,BRONX
10467,2,5000000,15.424948470398375,103732.0,6.0,151,BRONX
10458,2,1000000,13.815510557964274,83960.0,9.0,151,BRONX
10467,2,8850000,15.995928016984113,103732.0,6.0,151,BRONX
10467,2,5200000,15.464169183551656,103732.0,6.0,151,BRONX
10467,2,9575000,16.074666093030984,103732.0,6.0,151,BRONX
10467,2,8300000,15.931766072766827,103732.0,6.0,151,BRONX
10467,2,5675000,15.55158112133174,103732.0,6.0,151,BRONX
10467,2,5750000,15.564710412773533,103732.0,6.0,151,BRONX
10467,2,165000,12.013700752882718,103732.0,6.0,151,BRONX
10467,2,70000,11.156250521031495,103732.0,6.0,151,BRONX
10467,2,77000,11.251560700835821,103732.0,6.0,151,BRONX
10467,2,58645,10.979257598955606,103732.0,6.0,151,BRONX
10467,2,105000,11.56171562913966,103732.0,6.0,151,BRONX
10467,2,67000,11.112447898373103,103732.0,6.0,151,BRONX
10467,2,85240,11.353226086212553,103732.0,6.0,151,BRONX
10467,2,60000,11.002099841204238,103732.0,6.0,151,BRONX
